DataID,Match ID,Team,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Home Or Away,Crowd,Year
138,20-1408,Sheffield Utd,1,1,0,0,10,4,5,0,537,238,20,15,17,1,1,0.9,16,2,296,402,73.6,2337,337,847,9,17,A,Yes,20
139,20-1409,Everton,1,1,0,0,11,3,1,0,443,277,21,11,18,0.9,0.9,0.9,22,2,201,296,67.9,1971,239,863,9,15,A,Yes,20
140,20-1410,Aston Villa,2,2,0,0,9,3,1,0,464,199,21,9,23,1.4,1.4,0.7,16,4,238,349,68.2,1832,263,823,12,16,A,Yes,20
141,20-1501,Bournemouth,0,0,0,0,6,2,3,0,726,217,25,6,9,0.3,0.3,0.3,11,0,511,592,86.3,2879,537,1786,8,14,A,Yes,20
142,20-1502,Manchester City,4,3,0,0,17,8,1,0,922,109,13,4,9,1.8,1.8,1.5,30,6,729,836,87.2,3838,698,2063,11,19,A,Yes,20
143,20-1503,West Ham,0,0,0,0,6,3,2,0,640,200,19,12,16,0.5,0.5,0.5,8,0,422,534,79,2513,433,1261,19,24,A,Yes,20
144,20-1504,Tottenham,1,0,0,0,8,5,1,0,665,196,19,11,13,0.6,0.6,0.2,13,2,414,531,78,2211,412,1284,18,27,A,Yes,20
145,20-1505,Watford,0,0,0,0,4,1,2,0,498,154,14,5,15,0.2,0.2,0.2,8,0,263,382,68.8,2033,295,769,9,17,A,Yes,20
146,20-1506,Norwich City,1,1,0,0,10,3,1,0,750,147,15,10,16,0.8,0.8,0.7,19,2,483,596,81,2679,478,1290,17,26,A,Yes,20
147,20-1507,Aston Villa,1,1,0,0,9,3,1,0,539,215,27,8,27,0.7,0.7,0.6,17,2,288,375,76.8,2468,296,666,13,18,A,Yes,20
148,20-1508,Everton,2,1,0,0,11,4,2,0,495,156,19,9,15,1.5,1.5,1.1,15,2,271,383,70.8,2151,252,855,8,12,A,Yes,20
149,20-1509,Newcastle Utd,2,2,0,0,6,4,0,0,414,194,18,6,21,0.8,0.8,0.7,12,4,182,289,63,1891,199,790,8,14,A,Yes,20
150,20-1510,Brighton,2,1,0,0,20,9,1,0,564,203,16,7,10,2.3,2.3,1.1,32,2,360,453,79.5,2671,369,1167,14,19,A,Yes,20
151,20-1601,Chelsea,1,0,0,0,15,4,0,0,789,105,17,7,9,0.9,0.9,0.8,25,0,543,638,85.1,3533,518,1888,26,41,A,Yes,20
152,20-1602,Crystal Palace,0,0,0,0,3,0,2,0,533,169,18,8,14,0.2,0.2,0.1,4,0,293,398,73.6,1873,314,853,11,14,A,Yes,20
153,20-1603,Liverpool,3,3,0,0,21,9,1,0,973,132,12,5,9,2.4,2.4,1.9,30,5,774,885,87.5,4182,707,1895,8,13,A,Yes,20
154,20-1604,Burnley,0,0,0,0,7,1,1,0,629,169,14,4,14,0.5,0.5,0.3,9,0,400,511,78.3,2767,351,873,6,12,A,Yes,20
155,20-1605,Manchester Utd,2,1,1,1,10,6,2,0,443,314,22,9,35,1.6,0.8,0.8,21,4,214,287,74.6,1504,236,993,9,24,A,Yes,20
156,20-1606,Leicester City,4,3,0,0,24,8,2,0,637,207,18,10,15,4.5,4.5,3.5,40,6,417,497,83.9,2995,418,1450,12,22,A,Yes,20
157,20-1607,Southampton,1,1,0,0,19,4,3,0,586,194,23,4,19,2.3,2.3,1.1,27,2,336,447,75.2,2985,327,914,11,18,A,Yes,20
158,20-1608,Sheffield Utd,2,1,0,0,9,3,4,0,578,200,19,12,23,0.7,0.7,0.6,14,3,310,446,69.5,2356,351,920,19,21,A,Yes,20
159,20-1609,Wolves,2,2,0,0,13,5,0,0,481,160,15,10,19,1.6,1.6,1.5,20,4,288,393,73.3,2214,300,1157,14,18,A,Yes,20
160,20-1610,Arsenal,3,3,0,0,10,3,0,0,830,146,12,3,20,1.7,1.7,1.3,17,6,618,710,87,3270,621,1888,12,21,A,Yes,20
161,20-1701,Watford,0,0,0,0,8,2,1,0,477,188,26,16,24,1.4,1.4,1,13,0,208,332,62.7,1572,218,786,9,15,A,Yes,20
